idFnAccessPermission;accessMask;accessType;fnObjectType;inheritableDepth;objectId;permissionSource;principalType;status;idPrincipal
4;131201;ALLOW;DOCUMENT;0;{62A602D9-25CB-C590-8655-7FB3FA600000};SOURCE_DIRECT;GROUP;N;3
5;998903;ALLOW;DOCUMENT;0;{62A602D9-25CB-C590-8655-7FB3FA600000};SOURCE_DIRECT;USER;N;1
7;998903;ALLOW;DOCUMENT;0;{62A602D9-25CB-C590-8655-7FB3FA600000};SOURCE_DIRECT;GROUP;N;6
9;986607;ALLOW;DOCUMENT;0;{62A602D9-25CB-C590-8655-7FB3FA600000};SOURCE_DIRECT;USER;N;8
11;131201;ALLOW;DOCUMENT;0;{178853B0-D8F0-C86F-854E-7FB3FF400000};SOURCE_DIRECT;GROUP;N;3
12;998903;ALLOW;DOCUMENT;0;{178853B0-D8F0-C86F-854E-7FB3FF400000};SOURCE_DIRECT;USER;N;1
13;998903;ALLOW;DOCUMENT;0;{178853B0-D8F0-C86F-854E-7FB3FF400000};SOURCE_DIRECT;GROUP;N;6
14;986607;ALLOW;DOCUMENT;0;{178853B0-D8F0-C86F-854E-7FB3FF400000};SOURCE_DIRECT;USER;N;8
16;131201;ALLOW;DOCUMENT;0;{29ED56CF-C5FE-C1C5-85ED-7FB404700000};SOURCE_DIRECT;GROUP;N;3
17;998903;ALLOW;DOCUMENT;0;{29ED56CF-C5FE-C1C5-85ED-7FB404700000};SOURCE_DIRECT;USER;N;1
18;998903;ALLOW;DOCUMENT;0;{29ED56CF-C5FE-C1C5-85ED-7FB404700000};SOURCE_DIRECT;GROUP;N;6
19;986607;ALLOW;DOCUMENT;0;{29ED56CF-C5FE-C1C5-85ED-7FB404700000};SOURCE_DIRECT;USER;N;8
21;131201;ALLOW;DOCUMENT;0;{C2A6CB97-5A7D-CB11-8ED6-7FB404700000};SOURCE_DIRECT;GROUP;N;3
22;998903;ALLOW;DOCUMENT;0;{C2A6CB97-5A7D-CB11-8ED6-7FB404700000};SOURCE_DIRECT;USER;N;1
23;998903;ALLOW;DOCUMENT;0;{C2A6CB97-5A7D-CB11-8ED6-7FB404700000};SOURCE_DIRECT;GROUP;N;6
24;986607;ALLOW;DOCUMENT;0;{C2A6CB97-5A7D-CB11-8ED6-7FB404700000};SOURCE_DIRECT;USER;N;8
26;131201;ALLOW;DOCUMENT;0;{62A3D327-6703-C144-970D-7FB404700000};SOURCE_DIRECT;GROUP;N;3
27;998903;ALLOW;DOCUMENT;0;{62A3D327-6703-C144-970D-7FB404700000};SOURCE_DIRECT;USER;N;1
28;998903;ALLOW;DOCUMENT;0;{62A3D327-6703-C144-970D-7FB404700000};SOURCE_DIRECT;GROUP;N;6
29;986607;ALLOW;DOCUMENT;0;{62A3D327-6703-C144-970D-7FB404700000};SOURCE_DIRECT;USER;N;8
31;131201;ALLOW;DOCUMENT;0;{08070C26-B97A-CAD3-86A4-8DCC27200000};SOURCE_DIRECT;GROUP;N;3
32;998903;ALLOW;DOCUMENT;0;{08070C26-B97A-CAD3-86A4-8DCC27200000};SOURCE_DIRECT;USER;N;1
33;998903;ALLOW;DOCUMENT;0;{08070C26-B97A-CAD3-86A4-8DCC27200000};SOURCE_DIRECT;GROUP;N;6
35;131201;ALLOW;DOCUMENT;0;{A288286D-8B4F-C0CF-86A1-8DCC28800000};SOURCE_DIRECT;GROUP;N;3
36;998903;ALLOW;DOCUMENT;0;{A288286D-8B4F-C0CF-86A1-8DCC28800000};SOURCE_DIRECT;USER;N;1
37;998903;ALLOW;DOCUMENT;0;{A288286D-8B4F-C0CF-86A1-8DCC28800000};SOURCE_DIRECT;GROUP;N;6
